CustomerID,Recency,Frequency,Monetary,TotalProductsPurchased,UniqueProducts,AvgBasketSize,AvgDaysBetweenPurchases,DaysSinceFirstPurchase,CancellationRate,Segment
12346,326,12,77556.46,74285,26,6463.038333333334,12.121212121212121,726,0.0,At Risk
12347,2,8,5633.32,3286,126,704.165,1.5952380952380953,404,0.0,At Risk
12348,75,5,2019.4,2714,28,403.88,7.24,438,0.0,At Risk
12349,19,4,4428.69,1624,145,1107.1725,3.2758620689655173,589,0.0,At Risk
12350,310,1,334.4,197,17,334.4,0.0,310,0.0,Loyal Customers
12351,375,1,300.93,261,21,300.93,0.0,375,0.0,Loyal Customers
12352,36,10,2849.84,724,70,284.98400000000004,3.4901960784313726,393,0.0,At Risk
12353,204,2,406.76,212,23,203.38,8.869565217391305,409,0.0,Loyal Customers
12354,232,1,1079.4,530,58,1079.4,0.0,232,0.0,Loyal Customers
12355,214,2,947.61,543,35,473.805,10.382352941176471,568,0.0,Loyal Customers
12356,23,6,6373.68,3417,104,1062.28,2.823943661971831,425,0.0,At Risk
12357,33,3,18287.66,6587,264,6095.886666666666,1.2033898305084745,389,0.0,At Risk
12358,2,5,3887.07,1079,56,777.414,9.605263157894736,732,0.0,At Risk
12359,58,10,8935.94,2752,310,893.594,1.8571428571428572,734,0.0,At Risk
12360,52,8,4252.89,2459,163,531.61125,2.7916666666666665,656,0.0,At Risk
12361,287,4,511.25,235,19,127.8125,14.071428571428571,682,0.0,Loyal Customers
12362,3,11,5356.23,2230,201,486.92999999999995,2.763157894736842,739,0.0,At Risk
12363,110,2,552.0,408,23,276.0,6.0,242,0.0,At Risk
12364,8,4,1313.1,1506,70,328.275,1.2380952380952381,112,0.0,At Risk
12365,291,2,641.38,174,22,320.69,0.0,291,0.0,Loyal Customers
12366,634,1,500.24,296,3,500.24,0.0,634,0.0,Champions
12367,4,1,168.9,173,11,168.9,0.0,4,0.0,At Risk
12368,628,1,917.6999999999999,330,18,917.6999999999999,0.0,628,0.0,Champions
12369,413,3,1791.15,1241,90,597.0500000000001,2.4782608695652173,642,0.0,Loyal Customers
12370,51,7,4320.31,2605,170,617.1871428571429,3.0696517412935322,669,0.0,At Risk
12371,45,5,4067.38,1436,136,813.476,3.6144578313253013,645,0.0,At Risk
12372,72,3,1298.04,794,34,432.68,4.392156862745098,297,0.0,At Risk
12373,311,3,1127.65,516,38,375.8833333333334,7.24,674,0.0,Loyal Customers
12374,25,4,2989.2200000000003,1362,80,747.3050000000001,6.865853658536586,588,0.0,At Risk
12375,11,2,457.5,178,14,228.75,5.4375,98,0.0,At Risk
12376,390,2,503.15,240,11,251.575,2.3333333333333335,418,0.0,Loyal Customers
12377,315,4,3426.32,2105,129,856.58,1.814569536423841,589,0.0,Loyal Customers
12378,130,2,5416.32,3316,295,2708.16,1.44,562,0.0,At Risk
12379,82,4,1620.22,815,64,405.055,5.65,535,0.0,At Risk
12380,22,11,9676.300000000001,3355,179,879.6636363636364,2.318840579710145,663,0.0,At Risk
12381,5,5,1845.31,808,70,369.062,1.3372093023255813,120,0.0,At Risk
12383,185,5,1850.56,1532,84,370.11199999999997,1.7040816326530612,352,0.0,At Risk
12384,29,2,585.27,126,26,292.635,3.5384615384615383,122,0.0,At Risk
12385,379,1,1938.4,612,65,1938.4,0.0,379,0.0,Loyal Customers
12386,338,2,660.8,568,10,330.4,1.7058823529411764,367,0.0,Loyal Customers
12387,415,1,143.94,134,9,143.94,0.0,415,0.0,Loyal Customers
12388,16,8,3901.11,2001,84,487.63875,3.9034482758620688,582,0.0,At Risk
12389,403,3,1433.33,614,42,477.77666666666664,5.270833333333333,656,0.0,Loyal Customers
12390,80,1,549.84,353,32,549.84,0.0,80,0.0,At Risk
12391,22,6,2773.42,1220,245,462.2366666666667,2.289285714285714,663,0.0,At Risk
12392,591,1,234.75000000000003,73,7,234.75000000000003,0.0,591,0.0,Champions
12393,72,6,2399.4500000000003,1311,65,399.90833333333336,3.358490566037736,428,0.0,At Risk
12394,64,2,1272.48,819,26,636.24,5.884615384615385,217,0.0,At Risk
12395,19,15,5067.27,3733,151,337.81800000000004,2.3043478260869565,603,0.0,At Risk
12396,674,1,931.43,591,65,931.43,0.0,674,0.0,Champions
12397,36,2,2409.9,1263,110,1204.95,0.792,135,0.0,At Risk
12398,46,1,1635.6599999999999,1394,85,1635.6599999999999,0.0,46,0.0,At Risk
12399,119,7,1962.3,2198,70,280.3285714285714,4.81651376146789,645,0.0,At Risk
12400,414,1,205.25,91,11,205.25,0.0,414,0.0,Loyal Customers
12401,303,1,84.3,11,5,84.3,0.0,303,0.0,Loyal Customers
12402,323,6,1256.9,584,43,209.48333333333335,5.028985507246377,671,0.0,Loyal Customers
12403,50,2,1019.36,260,8,509.68,58.875,522,0.0,At Risk
12404,682,1,63.24,1,1,63.24,0.0,682,0.0,Champions
